Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.7984241628365069,0.7663551401869159,0.7580893682588598,0.7621998450813323
Random Forest,0.7728168089297439,0.7719928186714542,0.662557781201849,0.7131011608623549
SVM,0.5653315824031516,0.4936086529006883,0.773497688751926,0.602641056422569
DistilBERT,0.505581089954038,0.4596137760763336,0.505581089954038,0.4608055881270911
